,Total Money,Total Chips,Total Capabilities Growth Rate,GDP
86,2.425964784782327e+23,11265.767658366018,6.223421853404921e+24,"{'US': -976.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.6076583660179, 'SKorea': -109, 'Germany': -2.0}"
87,2.435964784782327e+23,11265.79100748626,6.365118914270045e+24,"{'US': -976.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.631007486259, 'SKorea': -109, 'Germany': -2.0}"
88,2.445964784782327e+23,11275.811886883464,6.508249149813976e+24,"{'US': -976.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.6518868834646, 'SKorea': -109, 'Germany': -2.0}"
89,2.445964784782327e+23,11275.821312393377,6.651585036527183e+24,"{'US': -976.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.6613123933762, 'SKorea': -109, 'Germany': -2.0}"
90,2.474964784782327e+23,11275.846798804285,6.796938922029129e+24,"{'US': -996.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.6867988042845, 'SKorea': -109, 'Germany': -2.0}"
91,2.4949647847823266e+23,11275.855255420975,6.943696875571783e+24,"{'US': -996.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -152.2, 'Japan': 1596.6952554209752, 'SKorea': -109, 'Germany': -2.0}"
92,2.517052208369647e+23,11275.876592695477,7.091039310977303e+24,"{'US': -1040.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -179.2, 'Japan': 1596.7165926954758, 'SKorea': -109, 'Germany': -2.0}"
93,2.555052208369647e+23,11275.876592696162,7.240253235708208e+24,"{'US': -1056.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -179.2, 'Japan': 1596.7165926961625, 'SKorea': -109, 'Germany': -2.0}"
94,2.5840522083696472e+23,11275.898929418156,7.389212133543829e+24,"{'US': -1096.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -179.2, 'Japan': 1596.7389294181557, 'SKorea': -109, 'Germany': -2.0}"
95,2.6130522083696468e+23,11275.909536225941,7.541082493132442e+24,"{'US': -1120.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -179.2, 'Japan': 1596.749536225942, 'SKorea': -109, 'Germany': -2.0}"
96,2.6230522083696466e+23,11275.919032467498,7.692879951962665e+24,"{'US': -1144.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -179.2, 'Japan': 1596.759032467498, 'SKorea': -109, 'Germany': -2.0}"
97,2.633052208369647e+23,11275.927129176624,7.847274271058372e+24,"{'US': -1162.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -179.2, 'Japan': 1596.7671291766246, 'SKorea': -109, 'Germany': -2.0}"
98,2.633052208369647e+23,11275.934379863651,8.00093326057497e+24,"{'US': -1162.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -179.2, 'Japan': 1596.7743798636507, 'SKorea': -109, 'Germany': -2.0}"
99,2.6430522083696468e+23,11275.937695484088,8.15774322557265e+24,"{'US': -1206.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -179.2, 'Japan': 1596.7776954840879, 'SKorea': -109, 'Germany': -2.0}"
100,2.643052208369647e+23,11275.946847689553,8.314713502302073e+24,"{'US': -1206.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -179.2, 'Japan': 1567.7868476895537, 'SKorea': -109, 'Germany': -2.0}"
101,2.683052208369647e+23,11275.952186823204,8.47309479318035e+24,"{'US': -1206.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -179.2, 'Japan': 1538.7921868232038, 'SKorea': -109, 'Germany': -2.0}"
102,2.693052208369647e+23,11275.956970509655,8.635491798176271e+24,"{'US': -1206.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.7969705096557, 'SKorea': -109, 'Germany': -2.0}"
103,2.7230522083696473e+23,11275.96127348042,8.797688803172192e+24,"{'US': -1206.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8012734804192, 'SKorea': -109, 'Germany': -2.0}"
104,2.7266430214753767e+23,11275.965124832792,8.96232100011171e+24,"{'US': -1206.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8051248327915, 'SKorea': -109, 'Germany': -2.0}"
105,2.7456430214753767e+23,11275.968631517395,9.128251771244891e+24,"{'US': -1206.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.808631517395, 'SKorea': -109, 'Germany': -2.0}"
106,2.7556430214753766e+23,11275.971768367193,9.294545943274978e+24,"{'US': -1227.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8117683671935, 'SKorea': -109, 'Germany': -2.0}"
107,2.755643021475377e+23,11275.973179948849,9.461745295832262e+24,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8131799488492, 'SKorea': -109, 'Germany': -2.0}"
108,2.7846430214753768e+23,11275.977119671947,9.629644648389548e+24,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8171196719468, 'SKorea': -109, 'Germany': -2.0}"
109,2.7946430214753767e+23,11275.979419139705,9.798202478116167e+24,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.819419139706, 'SKorea': -109, 'Germany': -2.0}"
110,2.8146430214753765e+23,11275.981477122821,9.966874554137156e+24,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8214771228209, 'SKorea': -109, 'Germany': -2.0}"
111,2.811743208529587e+23,11275.98239410306,1.0136772927252643e+25,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8223941030615, 'SKorea': -109, 'Germany': -2.0}"
112,2.8317432085295868e+23,11275.984913200362,1.0307180089523497e+25,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8249132003607, 'SKorea': -109, 'Germany': -2.0}"
113,2.841743208529587e+23,11275.986496822543,1.0478419521979372e+25,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.826496822543, 'SKorea': -109, 'Germany': -2.0}"
114,2.848490017593702e+23,11275.987847206454,1.06503646005741e+25,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.827847206454, 'SKorea': -109, 'Germany': -2.0}"
115,2.848490017593702e+23,11275.9890016623,1.0821954709092467e+25,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8290016622982, 'SKorea': -109, 'Germany': -2.0}"
116,2.848490017593702e+23,11275.990156183627,1.0994030279269759e+25,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8301561836274, 'SKorea': -109, 'Germany': -2.0}"
117,2.850373131645405e+23,11275.991091395674,1.1167098921674366e+25,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8310913956748, 'SKorea': -109, 'Germany': -2.0}"
118,2.860373131645405e+23,11285.99202655299,1.134040235472558e+25,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.83202655299, 'SKorea': -109, 'Germany': -2.0}"
119,2.8703731316454047e+23,11285.992823499058,1.151370578777679e+25,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.8328234990586, 'SKorea': -109, 'Germany': -2.0}"
120,2.8803731316454046e+23,11285.99350562745,1.168796272951524e+25,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.83350562745, 'SKorea': -109, 'Germany': -2.0}"
121,2.876912775004289e+23,11285.99418703101,1.1863734698635734e+25,"{'US': -1248.0, 'Taiwan': -257.0, 'China': -80.0, 'EU': -204.2, 'Japan': 1538.834187031011, 'SKorea': -109, 'Germany': -2.0}"
